Address,City,Email,Name,Phone,State,Zip,MD_Prefix1,MD_FirstName1,MD_MiddleName1,MD_LastName1,MD_Suffix1,MD_Gender1,MD_Prefix2,MD_FirstName2,MD_MiddleName2,MD_LastName2,MD_Suffix2,MD_Gender2,MD_Salutation,MD_Address,MD_Address2,MD_Suite,MD_Urbanization,MD_City,MD_State,MD_Zip,MD_Plus4,MD_DPAndCheckDigit,MD_PrivateMailbox,MD_Country,MD_CMRA,MD_ElotNumber,MD_ElotOrder,MD_DeliveryIndication,MD_AddressType,MD_AddressTypeDesc,MD_ZipType,MD_CRRT,MD_CityAbbrev,MD_District,MD_AddrRange,MD_AddrPreDir,MD_AddrName,MD_AddrSuffix,MD_AddrPostDir,MD_AddrSuiteName,MD_AddrSuiteRange,MD_AddrPMBName,MD_AddrPMBRange,MD_AddrRouteService,MD_AddrLockBox,MD_AddrDeliveryInstallation,MD_AddrExtraInformation,MD_AddrCountyName,MD_AddrCountyFips,MD_AddrTimezone,MD_AddrTimezoneCode,MD_AddressKey,MD_GeoCounty,MD_GeoCountyFIPS,MD_PlaceCode,MD_PlaceName,MD_TimeZone,MD_TZCode,MD_Latitude,MD_Longitude,MD_CBSACode,MD_CBSALevel,MD_CBSATitle,MD_CBSADivisionCode,MD_CBSADivisionLevel,MD_CBSADivisionTitle,MD_CensusBlock,MD_CensusTract,MD_Phone,MD_PhoneCity,MD_PhoneState,MD_PhoneCountry,MD_PhoneTimeZone,MD_PhoneTZCode,MD_AreaCode,MD_PhonePrefix,MD_PhoneSuffix,MD_PhoneExtension,MD_PhoneCounty,MD_PhoneCountyFips,MD_EmailBox,MD_EmailTopLevel,MD_EmailTopLevelDesc,MD_EmailDomain,MD_EmailAddress,MD_Results
115 Shady Lawn ,Garner       ,mrtwinky77@hotmail.com                     , Myrleine Delva     ,9529381300  ,NC,27529          ,                    ,Myrleine                           ,                    ,Delva                              ,                    ,U,                    ,                                   ,                    ,                                   ,                    , ,Dear Myrleine:                                    ,115 Shady Lawn Ct                                 ,                                                  ,Apt F               ,               ,Garner                             ,NC             ,27529     ,3469,788,               ,US        , ,    , ,                    ,H,Highrise                      , ,C006,Garner       ,04,115       ,     ,Shady Lawn                              ,Ct        ,     ,Apt       ,F         ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,27529346978,Wake                     ,37183,3725480,Garner                                                      ,Eastern Time        ,05,35.711900   ,-78.633337  ,39580,Metropolitan Statistical Area      ,"Raleigh, NC                                            ",     ,                                   ,                                                       ,2001,052802,(952) 938-1300                ,Hopkins                     ,MN,US,Central Time        ,06,952,938,1300,              ,                         ,     ,mrtwinky77               ,com       ,Commercial                                        ,hotmail                                           ,mrtwinky77@hotmail.com                                                     ,"AS01,ES01,GS06,NS01,NS06,PS02,PS08                                                                  "
2001 S Pine Dr ,Gastonia     ,mrtwirk2004@hotmail.com                    , laine tit          ,9529381300  ,NC,28054          ,                    ,Tit                                ,                    ,Laine                              ,                    ,U,                    ,                                   ,                    ,                                   ,                    , ,Dear Tit:                                         ,2001 S Pine Dr                                    ,                                                  ,                    ,               ,Gastonia                           ,NC             ,28054     ,6349,018,               ,US        , ,    , ,                    ,S,Street                        , ,C040,Gastonia     ,10,2001      ,S    ,Pine                                    ,Dr        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,28054634901,Gaston                   ,37071,3725580,Gastonia                                                    ,Eastern Time        ,05,35.237437   ,-81.192083  ,16740,Metropolitan Statistical Area      ,"Charlotte-Concord-Gastonia, NC-SC                      ",     ,                                   ,                                                       ,4029,032800,(952) 938-1300                ,Hopkins                     ,MN,US,Central Time        ,06,952,938,1300,              ,                         ,     ,mrtwirk2004              ,com       ,Commercial                                        ,hotmail                                           ,mrtwirk2004@hotmail.com                                                    ,"AS01,ES01,GS05,NS01,NS06,PS02,PS08                                                                  "
1036 Long Ave  ,Rocky Mount  ,mrtwised@peoplepc.com                      , Mitch Cummings     ,6123320673  ,NC,27801          ,                    ,Mitch                              ,                    ,Cummings                           ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Cummings:                                ,1036 Long Ave                                     ,                                                  ,                    ,               ,Rocky Mount                        ,NC             ,27801     ,5948,367,               ,US        , ,    , ,                    ,S,Street                        , ,C004,Rocky Mount  ,01,1036      ,     ,Long                                    ,Ave       ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,27801594836,Edgecombe                ,37065,3757500,Rocky Mount                                                 ,Eastern Time        ,05,35.930640   ,-77.783880  ,40580,Metropolitan Statistical Area      ,"Rocky Mount, NC                                        ",     ,                                   ,                                                       ,3014,020200,(612) 332-0673                ,Minneapolis                 ,MN,US,Central Time        ,06,612,332,0673,              ,                         ,     ,mrtwised                 ,com       ,Commercial                                        ,peoplepc                                          ,mrtwised@peoplepc.com                                                      ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
5224 Avery St S,Covington    ,mrtwisted2003@nc.rr.com                    , Dfsd Sdfsd         ,6123320673  ,GA,30014          ,                    ,Dfsd                               ,                    ,Sdfsd                              ,                    ,U,                    ,                                   ,                    ,                                   ,                    , ,Dear Dfsd:                                        ,5224 Avery St SW                                  ,                                                  ,                    ,               ,Covington                          ,GA             ,30014     ,2737,247,               ,US        , ,    , ,                    ,S,Street                        , ,C009,Covington    ,10,5224      ,     ,Avery                                   ,St        ,SW   ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,30014273724,Newton                   ,13217,1320064,Covington                                                   ,Eastern Time        ,05,33.589764   ,-83.872932  ,12060,Metropolitan Statistical Area      ,"Atlanta-Sandy Springs-Roswell, GA                      ",     ,                                   ,                                                       ,2023,100700,(612) 332-0673                ,Minneapolis                 ,MN,US,Central Time        ,06,612,332,0673,              ,                         ,     ,mrtwisted2003            ,com       ,Commercial                                        ,nc.rr                                             ,mrtwisted2003@nc.rr.com                                                    ,"AS01,AS16,ES01,GS05,NS01,PS02,PS08                                                                  "
6786 Lilac Ave ,Rialto       ,mrtwisted420@yahoo.com                     , Meagan Anderson    ,9529242134  ,CA,92376          ,                    ,Meagan                             ,                    ,Anderson                           ,                    ,F,                    ,                                   ,                    ,                                   ,                    , ,Dear Ms. Anderson:                                ,6786 Lilac Ave                                    ,                                                  ,                    ,               ,Rialto                             ,CA             ,92376     ,2765,869,               ,US        , ,    , ,                    ,S,Street                        , ,C013,Rialto       ,31,6786      ,     ,Lilac                                   ,Ave       ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,92376276586,San Bernardino           ,06071,       ,                                                            ,Pacific Time        ,08,34.130719   ,-117.379471 ,40140,Metropolitan Statistical Area      ,"Riverside-San Bernardino-Ontario, CA                   ",     ,                                   ,                                                       ,3011,003506,(952) 924-2134                ,Minneapolis                 ,MN,US,Central Time        ,06,952,924,2134,              ,                         ,     ,mrtwisted420             ,com       ,Commercial                                        ,yahoo                                             ,mrtwisted420@yahoo.com                                                     ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
757 Basil Rd   ,Swansea      ,mrtwister_usa@aol.com                      , Mike Nicholas      ,9529242134  ,SC,29160          ,                    ,Mike                               ,                    ,Nicholas                           ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Nicholas:                                ,757 Basil Rd                                      ,                                                  ,                    ,               ,Swansea                            ,SC             ,29160     ,9714,579,               ,US        , ,    , ,                    ,S,Street                        , ,R001,Swansea      ,02,757       ,     ,Basil                                   ,Rd        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,29160971457,Lexington                ,45063,       ,                                                            ,Eastern Time        ,05,33.728170   ,-81.040880  ,17900,Metropolitan Statistical Area      ,"Columbia, SC                                           ",     ,                                   ,                                                       ,1057,020801,(952) 924-2134                ,Minneapolis                 ,MN,US,Central Time        ,06,952,924,2134,              ,                         ,     ,mrtwister_usa            ,com       ,Commercial                                        ,aol                                               ,mrtwister_usa@aol.com                                                      ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
101 Marion Ave ,Spartanburg  ,mrtwister1@msn.com                         , Mike Nichols       ,7635593846  ,SC,29306          ,                    ,Mike                               ,                    ,Nichols                            ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Nichols:                                 ,101 Marion Ave                                    ,                                                  ,Apt 224             ,               ,Spartanburg                        ,SC             ,29306     ,4308,744,               ,US        , ,    , ,                    ,H,Highrise                      , ,C071,Spartanburg  ,04,101       ,     ,Marion                                  ,Ave       ,     ,Apt       ,224       ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,29306430874,Spartanburg              ,45083,4568290,Spartanburg                                                 ,Eastern Time        ,05,34.940391   ,-81.924546  ,43900,Metropolitan Statistical Area      ,"Spartanburg, SC                                        ",     ,                                   ,                                                       ,1011,021001,(763) 559-3846                ,Minneapolis                 ,MN,US,Central Time        ,06,763,559,3846,              ,                         ,     ,mrtwister1               ,com       ,Commercial                                        ,msn                                               ,mrtwister1@msn.com                                                         ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
120 Vogel Ridge,Anderson     ,mrtwister200@hotmail.com                   , Simcock Michael    ,7635593846  ,SC,29624          ,                    ,Michael                            ,                    ,Simcock                            ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Simcock:                                 ,120 Vogel Ridge Dr                                ,                                                  ,                    ,               ,Anderson                           ,SC             ,29624     ,5550,200,               ,US        , ,    , ,                    ,S,Street                        , ,R013,Anderson     ,03,120       ,     ,Vogel Ridge                             ,Dr        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,29624555020,Anderson                 ,45007,       ,                                                            ,Eastern Time        ,05,34.468940   ,-82.631170  ,24860,Metropolitan Statistical Area      ,"Greenville-Anderson-Mauldin, SC                        ",     ,                                   ,                                                       ,2042,011902,(763) 559-3846                ,Minneapolis                 ,MN,US,Central Time        ,06,763,559,3846,              ,                         ,     ,mrtwister200             ,com       ,Commercial                                        ,hotmail                                           ,mrtwister200@hotmail.com                                                   ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
718 Rugby Rd Ap,Lancaster    ,mrtwister44@yahoo.com                      , Michael Simoncelli ,2183456535  ,SC,29720          ,                    ,Michael                            ,                    ,Simoncelli                         ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Simoncelli:                              ,718 Rugby Rd                                      ,                                                  ,Apt A               ,               ,Lancaster                          ,SC             ,29720     ,1752,186,               ,US        , ,    , ,                    ,S,Street                        , ,C006,Lancaster    ,05,718       ,     ,Rugby                                   ,Rd        ,     ,Apt       ,A         ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,29720175218,Lancaster                ,45057,4539895,Lancaster                                                   ,Eastern Time        ,05,34.730210   ,-80.806420  ,16740,Metropolitan Statistical Area      ,"Charlotte-Concord-Gastonia, NC-SC                      ",     ,                                   ,                                                       ,2005,010900,(218) 345-6535                ,Alborn                      ,MN,US,Central Time        ,06,218,345,6535,              ,                         ,     ,mrtwister44              ,com       ,Commercial                                        ,yahoo                                             ,mrtwister44@yahoo.com                                                      ,"AS01,ES01,GS05,NS01,NS05,NS06,PS02,PS08                                                             "
213 Legare St  ,Latta        ,mrtwo@hush.com                             , Marcus Faust       ,2183456535  ,SC,29565          ,                    ,Marcus                             ,                    ,Faust                              ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Faust:                                   ,213 Legare St                                     ,                                                  ,                    ,               ,Latta                              ,SC             ,29565     ,1824,134,               ,US        , ,    , ,                    ,S,Street                        , ,C001,Latta        ,07,213       ,     ,Legare                                  ,St        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,29565182413,Dillon                   ,45033,       ,                                                            ,Eastern Time        ,05,34.330119   ,-79.430628  ,     ,                                   ,                                                       ,     ,                                   ,                                                       ,5015,970600,(218) 345-6535                ,Alborn                      ,MN,US,Central Time        ,06,218,345,6535,              ,                         ,     ,mrtwo                    ,com       ,Commercial                                        ,hush                                              ,mrtwo@hush.com                                                             ,"AS01,ES01,GS06,NS01,NS05,NS06,PS02,PS08                                                             "
1670 Derry Ave ,Atlanta      ,mrtwo3@yahoo.com                           , miles dickerson    ,2188791551  ,GA,30310          ,                    ,Miles                              ,                    ,Dickerson                          ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Dickerson:                               ,1670 Derry Ave SW                                 ,                                                  ,                    ,               ,Atlanta                            ,GA             ,30310     ,1554,701,               ,US        , ,    , ,                    ,S,Street                        , ,C024,Atlanta      ,05,1670      ,     ,Derry                                   ,Ave       ,SW   ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,30310155470,Fulton                   ,13121,1304000,Atlanta                                                     ,Eastern Time        ,05,33.743163   ,-84.442366  ,12060,Metropolitan Statistical Area      ,"Atlanta-Sandy Springs-Roswell, GA                      ",     ,                                   ,                                                       ,1002,006000,(218) 879-1551                ,Cloquet                     ,MN,US,Central Time        ,06,218,879,1551,              ,                         ,     ,mrtwo3                   ,com       ,Commercial                                        ,yahoo                                             ,mrtwo3@yahoo.com                                                           ,"AS01,ES01,GS05,NS01,NS05,NS06,PS01,PS08,PS11                                                        "
108 Tolson Ct  ,Raeford      ,mrtwodawg@163.com                          , miles morrow       ,2188791551  ,NC,28376          ,                    ,Miles                              ,                    ,Morrow                             ,                    ,M,                    ,                                   ,                    ,                                   ,                    , ,Dear Mr. Morrow:                                  ,108 Barrow Ct                                     ,                                                  ,                    ,               ,Raeford                            ,NC             ,28376     ,7925,083,               ,US        , ,    , ,                    ,S,Street                        , ,R017,Raeford      ,02,108       ,     ,Barrow                                  ,Ct        ,     ,          ,          ,          ,          ,                    ,                    ,                    ,                              ,                         ,     ,                    ,  ,28376792508,Hoke                     ,37093,       ,                                                            ,Eastern Time        ,05,34.994508   ,-79.157311  ,22180,Metropolitan Statistical Area      ,"Fayetteville, NC                                       ",     ,                                   ,                                                       ,2008,970102,(218) 879-1551                ,Cloquet                     ,MN,US,Central Time        ,06,218,879,1551,              ,                         ,     ,mrtwodawg                ,com       ,Commercial                                        ,163                                               ,mrtwodawg@163.com                                                          ,"AC05,AS01,ES01,GS05,NS01,NS05,NS06,PS01,PS08,PS11                                                   "
